network,station,channel,start_time,end_time,npts,latitude,longitude,elevation,units_type,units,source,source_file,sensor_sensitivity,scaling_factor,sampling_rate,low_filter_corner,high_filter_corner,instrument_period,instrument_damping,mean,standard_deviation,rms,pga,skewness,kurtosis,zero_crossing_rate,cav,horizontal_orientation
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN051.V2,1251.0000,980.6650,100.0000,0.1250,40.0000,0.0048,0.7000,0.0000,1.4019,1.4019,20.5862,4.4957,20.9050,16.4412,29.0053,90.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN052.V2,1250.0000,980.6650,100.0000,0.1250,40.0000,0.0048,0.7000,-0.0000,1.5704,1.5704,21.2947,4.5840,21.6402,15.7206,31.9402,90.0000
--,58389,HN1,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN053.V2,1253.0000,980.6650,100.0000,0.1250,40.0000,0.0047,0.7000,-0.0000,2.4286,2.4286,25.3230,2.6561,7.9357,11.9265,73.0140,360.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN054.V2,1252.0000,980.6650,100.0000,0.1250,40.0000,0.0048,0.7000,0.0000,1.1551,1.1551,17.5479,4.9153,28.5488,14.0735,26.5332,90.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN055.V2,1251.0000,980.6650,100.0000,0.1250,40.0000,0.0049,0.7000,-0.0000,1.3052,1.3052,16.3685,4.8392,26.2165,15.6324,29.2323,90.0000
--,58389,HN1,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN056.V2,1250.0000,980.6650,100.0000,0.1250,40.0000,0.0048,0.7000,-0.0000,2.3810,2.3810,26.5786,2.0434,4.0035,11.7059,77.9208,360.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN057.V2,1249.0000,980.6650,100.0000,0.1250,40.0000,0.0051,0.7000,0.0000,0.9952,0.9952,18.9856,5.5942,40.0077,13.4853,23.7520,90.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN058.V2,1250.0000,980.6650,100.0000,0.1250,40.0000,0.0047,0.7000,-0.0000,1.0406,1.0406,17.8711,5.4250,37.1255,14.1765,25.2158,90.0000
--,58389,HN1,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN059.V2,1252.0000,980.6650,100.0000,0.1250,40.0000,0.0047,0.7000,0.0000,2.2454,2.2454,28.9364,2.0835,4.3633,10.4853,73.3938,360.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN060.V2,1250.0000,980.6650,100.0000,0.1250,40.0000,0.0049,0.7000,-0.0000,1.3190,1.3190,20.2462,4.9266,28.3799,12.8382,29.5153,90.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN061.V2,1249.0000,980.6650,100.0000,0.1250,40.0000,0.0051,0.7000,-0.0000,1.4638,1.4638,19.9062,4.8564,26.3430,14.6029,32.4315,90.0000
--,58389,HN1,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN062.V2,1250.0000,980.6650,100.0000,0.1250,40.0000,0.0050,0.7000,-0.0000,1.8141,1.8141,29.9187,3.8735,16.9849,14.6324,40.3538,360.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN063.V2,1252.0000,980.6650,100.0000,0.1250,40.0000,0.0049,0.7000,0.0000,1.1959,1.1959,19.6916,5.0876,28.1546,14.4853,22.9064,90.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN064.V2,1251.0000,980.6650,100.0000,0.1250,40.0000,0.0048,0.7000,-0.0000,1.2681,1.2681,20.2674,5.1582,29.2427,22.8088,24.3219,90.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN065.V2,1250.0000,980.6650,100.0000,0.1250,40.0000,0.0050,0.7000,0.0000,1.1546,1.1546,15.7867,4.6878,26.0508,13.3088,28.6174,90.0000
--,58389,HN1,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN066.V2,1250.0000,980.6650,100.0000,0.1250,40.0000,0.0047,0.7000,-0.0000,2.4134,2.4134,28.8014,1.9520,3.7788,9.9412,80.7394,360.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN067.V2,1250.0000,980.6650,100.0000,0.1250,40.0000,0.0047,0.7000,-0.0000,1.4235,1.4235,25.2936,5.0039,26.6515,22.1618,26.6851,90.0000
--,58389,HN1,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN068.V2,1249.0000,980.6650,100.0000,0.1250,40.0000,0.0047,0.7000,0.0000,1.4539,1.4539,19.8540,3.8180,18.1647,12.0147,37.7701,360.0000
--,58389,HN1,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN069.V2,1250.0000,980.6650,100.0000,0.1250,40.0000,0.0048,0.7000,-0.0000,1.6781,1.6781,19.5511,3.0003,12.6600,11.5588,52.5800,360.0000
--,58389,HN1,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN070.V2,1249.0000,980.6650,100.0000,0.1250,40.0000,0.0051,0.7000,0.0000,2.6089,2.6089,22.1321,1.9200,3.1763,16.4853,88.9085,360.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN071.V2,1250.0000,980.6650,100.0000,0.1250,40.0000,0.0047,0.7000,-0.0000,1.1765,1.1765,17.8904,4.1921,20.2514,18.0147,30.1905,90.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN072.V2,1251.0000,980.6650,100.0000,0.1250,40.0000,0.0049,0.7000,0.0000,1.0394,1.0394,13.9904,4.0648,19.9090,20.7500,28.0697,90.0000
